district_str,neighborhood_latin,neighborhood_str,neighborhood_code,district_code
Yashnobod tumani,Olmos mahallasi,Олмос махалля,342,10
Yashnobod tumani,Birlashgan mahallasi,Бирлашган махалля,65,10
Yashnobod tumani,Ma'rifat mahallasi,Маърифат махалля,271,10
Yashnobod tumani,Qadriyat mahallasi,Кадрият махалля,377,10
Yashnobod tumani,Jarqo‘rg‘on mahallasi,Жаркургон махалля,220,10
Yashnobod tumani,Boyqo‘rg‘on mahallasi,Бойкургон махалля,85,10
Yashnobod tumani,Behizor mahallasi,Бехизор махалля,47,10
Yashnobod tumani,Istiqlol mahallasi,Истиклол махалля,209,10
Yashnobod tumani,Semurg' mahallasi,Семург махалля,417,10
Yashnobod tumani,Katta Yangiobod mahallasi,Катта Янгиобод махалля,247,10
Yashnobod tumani,Al-Buxoriy mahallasi,Ал-Бухорий махалля,16,10
Yashnobod tumani,Dilbog' mahallasi,Дилбог махалля,127,10
Yashnobod tumani,Asalobod mahallasi,Асалобод махалля,31,10
Yashnobod tumani,Tuzel mahallasi,Тузел махалля,484,10
Yashnobod tumani,Tong mahallasi,Тонг махалля,474,10
Yashnobod tumani,Boysun mahallasi,Бойсун махалля,86,10
Yashnobod tumani,Parvoz mahallasi,Парвоз махалля,370,10
Yashnobod tumani,Yanginur mahallasi,Янгинур махалля,543,10
Yashnobod tumani,Tarnovboshi mahallasi,Тарновбоши махалля,460,10
Yashnobod tumani,Mashinasozlar mahallasi,Машинасозлар махалля,278,10
Yashnobod tumani,O‘rtamasjid mahallasi,Уртамасжид махалля,365,10
Yashnobod tumani,Ahmad Yassaviy mahallasi,Ахмад Яссавий махалля,13,10
Yashnobod tumani,Xosiyatli mahallasi,Хосиятли махалля,514,10
Yashnobod tumani,Beshbola mahallasi,Бешбола махалля,55,10
Yashnobod tumani,Arg‘in mahallasi,Аргин махалля,28,10
Yashnobod tumani,Do‘stobod mahallasi,Дустобод махалля,136,10
Yashnobod tumani,Shohsanam mahallasi,Шохсанам махалля,443,10
Yunusobod tumani,Shahriston mahallasi,Шахристон махалля,422,11
Yunusobod tumani,Sevinch mahallasi,Севинч махалля,418,11
Yunusobod tumani,Yunusota mahallasi,Юнусота махалля,560,11
Yunusobod tumani,Ahmad Donish mahallasi,Ахмад Дониш махалля,12,11
Yunusobod tumani,Obod mahallasi,Обод махалля,334,11
Yunusobod tumani,Xiyobontepa mahallasi,Хиёбонтепа махалля,507,11
Yunusobod tumani,Shoshtepa mahallasi,Шоштепа махалля,445,11
Yunusobod tumani,Usta Shirin mahallasi,Уста Ширин махалля,492,11
Yunusobod tumani,Oqtepa mahallasi,Октепа махалля,352,11
Yunusobod tumani,Beg‘ubor mahallasi,Бегубор махалля,46,11
Yunusobod tumani,Hamkorobod mahallasi,Хамкоробод махалля,182,11
Yunusobod tumani,Bog‘ishamol mahallasi,Богишамол махалля,77,11
Yunusobod tumani,Mingchinor mahallasi,Мингчинор махалля,286,11
Yunusobod tumani,Billur mahallasi,Биллур махалля,62,11
Yunusobod tumani,Minor mahallasi,Минор махалля,289,11
Yunusobod tumani,Nurmakon mahallasi,Нурмакон махалля,330,11
Yunusobod tumani,Husniobod mahallasi,Хусниобод махалля,193,11
Yunusobod tumani,Bog‘ieram mahallasi,Богиэрам махалля,75,11
Yunusobod tumani,Uvaysiy mahallasi,Увайсий махалля,494,11
Yunusobod tumani,Qadrdon mahallasi,Кадрдон махалля,376,11
Yunusobod tumani,Kulolqo‘rg‘on mahallasi,Кулолкургон махалля,265,11
Yunusobod tumani,Turkiston mahallasi,Туркистон махалля,481,11
Yunusobod tumani,Registon mahallasi,Регистон махалля,406,11
Yunusobod tumani,Shayx Shibliy mahallasi,Шайх Шивлий махалля,431,11
Yunusobod tumani,Muruvvat mahallasi,Мурувват махалля,304,11
Yunusobod tumani,Qo‘shchinor mahallasi,Кушчинор махалля,393,11
Yunusobod tumani,Yangibog' mahallasi,Янгибог махалля,541,11
Yunusobod tumani,O‘zbekiston mustaqilligi mahallasi,Узбекистон мустакиллиги махалля,368,11
Yunusobod tumani,Sobirobod mahallasi,Собиробод махалля,449,11
Yunusobod tumani,Hasanboy mahallasi,Хасанбой махалля,183,11
Yunusobod tumani,Matonat mahallasi,Матонат махалля,279,11
Yunusobod tumani,Mehnatobod mahallasi,Мехнатобод махалля,281,11
Yunusobod tumani,Yangiariq mahallasi,Янгиарик махалля,540,11
Yunusobod tumani,Jomiy mahallasi,Жомий махалля,224,11
Yunusobod tumani,Turkqo‘rg‘on mahallasi,Турккургон махалля,482,11
Yunusobod tumani,Astrobod mahallasi,Астробод махалля,33,11
Yunusobod tumani,Bobodehqon mahallasi,Бободехкон махалля,69,11
Yunusobod tumani,Ahilobod mahallasi,Ахилобод махалля,11,11
Yunusobod tumani,Buyuk Turon mahallasi,Буюк Турон махалля,93,11
Yunusobod tumani,G‘ayratiy mahallasi,Гайратий махалля,175,11
Yunusobod tumani,Adolat mahallasi,Адолат махалля,7,11
Yunusobod tumani,Halqabog' mahallasi,Халкабог махалля,178,11
Yunusobod tumani,Akbarobod mahallasi,Акбаробод махалля,15,11
Yunusobod tumani,Yunusobod mahallasi,Юнусобод махалля,559,11
Yunusobod tumani,Yurtobod mahallasi,Юртобод махалля,564,11
Yunusobod tumani,Yo'layriq mahallasi,Йулайрик махалля,552,11
Yunusobod tumani,Uchqahramon mahallasi,Учкахрамон махалля,486,11
Yunusobod tumani,Tiklanish mahallasi,Тикланиш махалля,469,11
Yunusobod tumani,Islomobod mahallasi,Исломобод махалля,206,11
Yunusobod tumani,Katta Hasanboy mahallasi,Катта Хасанбой махалля,235,11
Yunusobod tumani,Anorzor mahallasi,Анорзор махалля,27,11
Yunusobod tumani,Otchopar-2 mahallasi,Отчопар-2 махалля,357,11
Yunusobod tumani,Sharq haqiqati mahallasi,Шарк хакикати махалля,427,11
Yunusobod tumani,Posira mahallasi,Посира махалля,375,11
Yunusobod tumani,Otchopar-1 mahallasi,Отчопар-1 махалля,356,11
Yunusobod tumani,Iftixor mahallasi,Ифтихор махалля,198,11
Yunusobod tumani,Yangitarnov mahallasi,Янгитарнов махалля,547,11
Yunusobod tumani,Bog‘ibo‘ston mahallasi,Богибустон махалля,73,11
Yunusobod tumani,Bodomzor mahallasi,Бодомзор махалля,71,11
Yunusobod tumani,Bo‘zsuv mahallasi,Бузсув махалля,90,11
Yunusobod tumani,Firdavsiy mahallasi,Фирдавсий махалля,154,11
Yunusobod tumani,Mirzo Ulug‘bek mahallasi,Мирзо Улугбек махалля,294,11
Yunusobod tumani,Qashqar mahallasi,Кашкар махалля,379,11
Yunusobod tumani,Barhayot mahallasi,Бархаёт махалля,41,11
